Id,ActivityMinute,Steps
122,2016-03-12 00:00:00,0
122,2016-03-12 00:15:00,0
122,2016-03-12 00:30:00,0
122,2016-03-12 00:45:00,0
122,2016-03-12 01:00:00,0
122,2016-03-12 01:15:00,0
122,2016-03-12 01:30:00,0
122,2016-03-12 01:45:00,0
122,2016-03-12 02:00:00,0
122,2016-03-12 02:15:00,0
122,2016-03-12 02:30:00,0
122,2016-03-12 02:45:00,0
122,2016-03-12 03:00:00,0
122,2016-03-12 03:15:00,0
122,2016-03-12 03:30:00,0
122,2016-03-12 03:45:00,0
122,2016-03-12 04:00:00,0
122,2016-03-12 04:15:00,0
122,2016-03-12 04:30:00,0
122,2016-03-12 04:45:00,0
122,2016-03-12 05:00:00,0
122,2016-03-12 05:15:00,0
122,2016-03-12 05:30:00,0
122,2016-03-12 05:45:00,0
122,2016-03-12 06:00:00,0
144,2016-04-12 06:15:00,0
144,2016-04-12 06:30:00,0
144,2016-04-12 06:45:00,0
144,2016-04-12 07:00:00,0
144,2016-04-12 07:15:00,0
144,2016-04-12 07:30:00,0
144,2016-04-12 07:45:00,0
144,2016-04-12 08:00:00,0
144,2016-04-12 08:15:00,0
144,2016-04-12 08:30:00,0
144,2016-04-12 08:45:00,0
144,2016-04-12 09:00:00,0
144,2016-04-12 09:15:00,0
144,2016-04-12 09:30:00,0
144,2016-04-12 09:45:00,8
144,2016-04-12 10:00:00,33
144,2016-04-12 10:15:00,63
144,2016-04-12 10:30:00,20
144,2016-04-12 10:45:00,435
144,2016-04-12 11:00:00,572
144,2016-04-12 11:15:00,220
144,2016-04-12 11:30:00,501
144,2016-04-12 11:45:00,471
144,2016-04-12 12:00:00,703
144,2016-04-12 12:15:00,117
144,2016-04-12 12:30:00,345
167,2016-01-12 12:45:00,94
167,2016-01-12 13:00:00,43
167,2016-01-12 13:15:00,131
167,2016-01-12 13:30:00,34
167,2016-01-12 13:45:00,45
167,2016-01-12 14:00:00,264
167,2016-01-12 14:15:00,981
167,2016-01-12 14:30:00,1660
167,2016-01-12 14:45:00,1565
167,2016-01-12 15:00:00,1744
167,2016-01-12 15:15:00,1634
167,2016-01-12 15:30:00,1285
167,2016-01-12 15:45:00,256
167,2016-01-12 16:00:00,52
167,2016-01-12 16:15:00,1294
167,2016-01-12 16:30:00,338
167,2016-01-12 16:45:00,221
167,2016-01-12 17:00:00,137
167,2016-01-12 17:15:00,816
167,2016-01-12 17:30:00,12
167,2016-01-12 17:45:00,73
167,2016-01-12 18:00:00,0
167,2016-01-12 18:15:00,14
167,2016-01-12 18:30:00,0
167,2016-01-12 18:45:00,0
167,2016-01-12 19:00:00,86
167,2016-01-12 19:15:00,212
167,2016-01-12 19:30:00,210
167,2016-01-12 19:45:00,98
167,2016-01-12 20:00:00,0
167,2016-01-12 20:15:00,16
167,2016-01-12 20:30:00,31
167,2016-01-12 20:45:00,9
167,2016-01-12 21:00:00,0
167,2016-01-12 21:15:00,299
167,2016-01-12 21:30:00,321
167,2016-01-12 21:45:00,162
167,2016-01-12 22:00:00,76
167,2016-01-12 22:15:00,169
167,2016-01-12 22:30:00,361
167,2016-01-12 22:45:00,526
167,2016-01-12 23:00:00,115
167,2016-01-12 23:15:00,336
167,2016-01-12 23:30:00,371
167,2016-01-12 23:45:00,96
167,2016-03-13 00:00:00,32
167,2016-03-13 00:15:00,0
167,2016-03-13 00:30:00,7
167,2016-03-13 00:45:00,0